external_id,operation,property_type,price_amount,price_currency,price_per_m2,location_country,location_city,location_district,location_neighborhood,location_address,building_year,building_floors,building_type,wall_material,elevator,balcony_type,condition,building_infrastructure,specs_rooms,specs_bathrooms,specs_area_m2,specs_floor,specs_balcony,specs_terrace,furnished,title,description,images
OD011,sale,apartment,3128000,UAH,57930,UA,Одеса,Приморський,Французький бульвар,"вул. Філатова, 53",2012,19,спецпроект,газоблок,true,засклений,після ремонту,"[""консьєрж"",""гостьовий паркінг"",""охорона""]",3,1,54,11,true,false,true,Сімейна квартира • Французький бульвар,"3-кімнатна квартира, 54 м², після ремонту. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: газоблок, балкон: засклений.","[""https://picsum.photos/seed/od-11-1/1200/900"",""https://picsum.photos/seed/od-11-2/1200/900"",""https://picsum.photos/seed/od-11-3/1200/900""]"
OD012,sale,apartment,3751000,UAH,53580,UA,Одеса,Приморський,Французький бульвар,"вул. Філатова, 42",1999,11,хрущовка,панель,true,лоджія,євроремонт,"[""гостьовий паркінг"",""охорона""]",3,2,70,8,true,false,false,Квартира біля моря • Французький бульвар,"3-кімнатна квартира, 70 м², євроремонт. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: панель, балкон: лоджія.","[""https://picsum.photos/seed/od-12-1/1200/900"",""https://picsum.photos/seed/od-12-2/1200/900"",""https://picsum.photos/seed/od-12-3/1200/900""]"
OD013,sale,apartment,3226000,UAH,48875,UA,Одеса,Приморський,Аркадія,"вул. Генуезька, 119",2020,15,хрущовка,моноліт,true,без балкона,після ремонту,"[""поруч парк"",""підземний паркінг"",""охорона""]",3,2,66,15,false,true,true,Квартира з терасою • Аркадія,"3-кімнатна квартира, 66 м², після ремонту. Район Аркадія, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-13-1/1200/900"",""https://picsum.photos/seed/od-13-2/1200/900"",""https://picsum.photos/seed/od-13-3/1200/900""]"
OD014,sale,apartment,2214000,UAH,48132,UA,Одеса,Приморський,Аркадія,"вул. Пушкінська, 93",2025,7,хрущовка,моноліт,true,французький,після ремонту,"[""дитячий майданчик"",""підземний паркінг"",""гостьовий паркінг"",""поруч парк""]",1,3,46,7,true,false,true,Сімейна квартира • Аркадія,"1-кімнатна квартира, 46 м², після ремонту. Район Аркадія, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: французький.","[""https://picsum.photos/seed/od-14-1/1200/900"",""https://picsum.photos/seed/od-14-2/1200/900"",""https://picsum.photos/seed/od-14-3/1200/900""]"
OD015,sale,apartment,3616000,UAH,68221,UA,Одеса,Приморський,Французький бульвар,"вул. Люстдорфська дорога, 56",2009,25,чешка,цегла,true,засклений,євроремонт,"[""охорона"",""поруч парк""]",1,1,53,1,true,false,true,Квартира біля моря • Французький бульвар,"1-кімнатна квартира, 53 м², євроремонт. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: цегла, балкон: засклений.","[""https://picsum.photos/seed/od-15-1/1200/900"",""https://picsum.photos/seed/od-15-2/1200/900"",""https://picsum.photos/seed/od-15-3/1200/900""]"
OD016,sale,apartment,3133000,UAH,46075,UA,Одеса,Приморський,Французький бульвар,"вул. Філатова, 81",2015,23,сталінка,цегла,true,французький,житловий стан,"[""охорона"",""поруч парк"",""гостьовий паркінг"",""підземний паркінг""]",2,1,68,15,true,false,false,Світла квартира • Французький бульвар,"2-кімнатна квартира, 68 м², житловий стан. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: цегла, балкон: французький.","[""https://picsum.photos/seed/od-16-1/1200/900"",""https://picsum.photos/seed/od-16-2/1200/900"",""https://picsum.photos/seed/od-16-3/1200/900""]"
OD017,sale,apartment,4420000,UAH,76206,UA,Одеса,Приморський,Французький бульвар,"вул. Канатна, 21",2007,23,новобудова,моноліт,true,без балкона,після ремонту,"[""підземний паркінг"",""дитячий майданчик"",""поруч парк""]",2,2,58,23,false,false,true,Квартира біля моря • Французький бульвар,"2-кімнатна квартира, 58 м², після ремонту. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-17-1/1200/900"",""https://picsum.photos/seed/od-17-2/1200/900"",""https://picsum.photos/seed/od-17-3/1200/900""]"
OD018,sale,apartment,4369000,UAH,62409,UA,Одеса,Приморський,Центр,"вул. Генуезька, 100",2021,20,сталінка,цегла,true,відкритий,від будівельників,"[""підземний паркінг"",""гостьовий паркінг""]",1,3,70,3,true,false,false,Квартира з терасою • Центр,"1-кімнатна квартира, 70 м², від будівельників. Район Центр, Приморський район. Є ліфт, матеріал стін: цегла, балкон: відкритий.","[""https://picsum.photos/seed/od-18-1/1200/900"",""https://picsum.photos/seed/od-18-2/1200/900"",""https://picsum.photos/seed/od-18-3/1200/900""]"
OD019,sale,apartment,2495000,UAH,45369,UA,Одеса,Київський,Таїрова,"вул. Філатова, 44",2023,26,новобудова,цегла,true,французький,євроремонт,"[""гостьовий паркінг"",""консьєрж"",""поруч парк"",""дитячий майданчик""]",2,1,55,7,true,false,false,Квартира з терасою • Таїрова,"2-кімнатна квартира, 55 м², євроремонт. Район Таїрова, Київський район. Є ліфт, матеріал стін: цегла, балкон: французький.","[""https://picsum.photos/seed/od-19-1/1200/900"",""https://picsum.photos/seed/od-19-2/1200/900"",""https://picsum.photos/seed/od-19-3/1200/900""]"
OD020,sale,apartment,2981000,UAH,26378,UA,Одеса,Суворовський,Котовського,"вул. Люстдорфська дорога, 94",2000,22,спецпроект,моноліт,true,відкритий,житловий стан,"[""охорона"",""поруч парк""]",3,2,113,17,true,false,true,Квартира під інвестицію • Котовського,"3-кімнатна квартира, 113 м², житловий стан. Район Котовського, Суворовський район. Є ліфт, матеріал стін: моноліт, балкон: відкритий.","[""https://picsum.photos/seed/od-20-1/1200/900"",""https://picsum.photos/seed/od-20-2/1200/900"",""https://picsum.photos/seed/od-20-3/1200/900""]"
OD021,sale,apartment,4017000,UAH,60861,UA,Одеса,Приморський,Центр,"вул. Люстдорфська дорога, 119",2016,26,чешка,панель,true,французький,від будівельників,"[""дитячий майданчик"",""гостьовий паркінг""]",2,1,66,15,true,true,false,Світла квартира • Центр,"2-кімнатна квартира, 66 м², від будівельників. Район Центр, Приморський район. Є ліфт, матеріал стін: панель, балкон: французький.","[""https://picsum.photos/seed/od-21-1/1200/900"",""https://picsum.photos/seed/od-21-2/1200/900"",""https://picsum.photos/seed/od-21-3/1200/900""]"
OD022,sale,apartment,3468000,UAH,47504,UA,Одеса,Приморський,Аркадія,"вул. Канатна, 99",2007,24,новобудова,газоблок,true,французький,після ремонту,"[""дитячий майданчик"",""консьєрж"",""поруч парк"",""підземний паркінг""]",1,1,73,24,true,false,true,Квартира з терасою • Аркадія,"1-кімнатна квартира, 73 м², після ремонту. Район Аркадія, Приморський район. Є ліфт, матеріал стін: газоблок, балкон: французький.","[""https://picsum.photos/seed/od-22-1/1200/900"",""https://picsum.photos/seed/od-22-2/1200/900"",""https://picsum.photos/seed/od-22-3/1200/900""]"
OD023,sale,apartment,2849000,UAH,29677,UA,Одеса,Суворовський,Слобідка,"вул. Філатова, 70",2009,12,чешка,цегла,true,лоджія,євроремонт,"[""охорона"",""гостьовий паркінг"",""поруч парк""]",2,3,96,3,true,false,true,Світла квартира • Слобідка,"2-кімнатна квартира, 96 м², євроремонт. Район Слобідка, Суворовський район. Є ліфт, матеріал стін: цегла, балкон: лоджія.","[""https://picsum.photos/seed/od-23-1/1200/900"",""https://picsum.photos/seed/od-23-2/1200/900"",""https://picsum.photos/seed/od-23-3/1200/900""]"
OD024,sale,apartment,1492000,UAH,24063,UA,Одеса,Суворовський,Котовського,"вул. Канатна, 19",2016,10,чешка,моноліт,true,лоджія,від будівельників,"[""підземний паркінг"",""охорона"",""дитячий майданчик"",""консьєрж""]",1,3,62,8,true,false,false,Квартира біля моря • Котовського,"1-кімнатна квартира, 62 м², від будівельників. Район Котовського, Суворовський район. Є ліфт, матеріал стін: моноліт, балкон: лоджія.","[""https://picsum.photos/seed/od-24-1/1200/900"",""https://picsum.photos/seed/od-24-2/1200/900"",""https://picsum.photos/seed/od-24-3/1200/900""]"
OD025,sale,apartment,2494000,UAH,44540,UA,Одеса,Київський,Таїрова,"вул. Генуезька, 56",2011,18,спецпроект,цегла,true,без балкона,євроремонт,"[""дитячий майданчик"",""підземний паркінг""]",1,1,56,18,false,false,true,Світла квартира • Таїрова,"1-кімнатна квартира, 56 м², євроремонт. Район Таїрова, Київський район. Є ліфт, матеріал стін: цегла, балкон: без балкона.","[""https://picsum.photos/seed/od-25-1/1200/900"",""https://picsum.photos/seed/od-25-2/1200/900"",""https://picsum.photos/seed/od-25-3/1200/900""]"
OD026,sale,apartment,3729000,UAH,38439,UA,Одеса,Київський,Фонтан,"вул. Люстдорфська дорога, 60",2016,14,спецпроект,газоблок,true,відкритий,євроремонт,"[""охорона"",""підземний паркінг"",""дитячий майданчик"",""гостьовий паркінг""]",2,1,97,3,true,false,true,Квартира з терасою • Фонтан,"2-кімнатна квартира, 97 м², євроремонт. Район Фонтан, Київський район. Є ліфт, матеріал стін: газоблок, балкон: відкритий.","[""https://picsum.photos/seed/od-26-1/1200/900"",""https://picsum.photos/seed/od-26-2/1200/900"",""https://picsum.photos/seed/od-26-3/1200/900""]"
OD027,sale,apartment,4045000,UAH,43032,UA,Одеса,Київський,Чорноморка,"вул. Люстдорфська дорога, 44",2013,12,чешка,панель,true,французький,після ремонту,"[""дитячий майданчик"",""гостьовий паркінг""]",2,2,94,4,true,false,false,Квартира біля моря • Чорноморка,"2-кімнатна квартира, 94 м², після ремонту. Район Чорноморка, Київський район. Є ліфт, матеріал стін: панель, балкон: французький.","[""https://picsum.photos/seed/od-27-1/1200/900"",""https://picsum.photos/seed/od-27-2/1200/900"",""https://picsum.photos/seed/od-27-3/1200/900""]"
OD028,sale,apartment,3213000,UAH,46560,UA,Одеса,Приморський,Аркадія,"вул. Люстдорфська дорога, 53",2012,15,спецпроект,моноліт,true,лоджія,євроремонт,"[""дитячий майданчик"",""гостьовий паркінг"",""поруч парк""]",4,2,69,15,true,false,true,Квартира біля моря • Аркадія,"4-кімнатна квартира, 69 м², євроремонт. Район Аркадія, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: лоджія.","[""https://picsum.photos/seed/od-28-1/1200/900"",""https://picsum.photos/seed/od-28-2/1200/900"",""https://picsum.photos/seed/od-28-3/1200/900""]"
OD029,sale,apartment,5564000,UAH,48808,UA,Одеса,Приморський,Аркадія,"вул. Канатна, 104",2007,12,спецпроект,газоблок,true,французький,після ремонту,"[""охорона"",""поруч парк""]",4,2,114,12,true,true,false,Квартира з терасою • Аркадія,"4-кімнатна квартира, 114 м², після ремонту. Район Аркадія, Приморський район. Є ліфт, матеріал стін: газоблок, балкон: французький.","[""https://picsum.photos/seed/od-29-1/1200/900"",""https://picsum.photos/seed/od-29-2/1200/900"",""https://picsum.photos/seed/od-29-3/1200/900""]"
OD030,sale,apartment,6002000,UAH,60629,UA,Одеса,Приморський,Французький бульвар,"вул. Люстдорфська дорога, 103",2021,10,чешка,моноліт,true,відкритий,від будівельників,"[""гостьовий паркінг"",""консьєрж"",""дитячий майданчик""]",2,1,99,8,true,false,false,Сімейна квартира • Французький бульвар,"2-кімнатна квартира, 99 м², від будівельників. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: відкритий.","[""https://picsum.photos/seed/od-30-1/1200/900"",""https://picsum.photos/seed/od-30-2/1200/900"",""https://picsum.photos/seed/od-30-3/1200/900""]"
OD031,sale,apartment,4601000,UAH,46477,UA,Одеса,Приморський,Аркадія,"вул. Люстдорфська дорога, 79",2012,21,спецпроект,моноліт,true,без балкона,від будівельників,"[""охорона"",""поруч парк"",""консьєрж"",""гостьовий паркінг""]",2,1,99,14,false,false,true,Квартира біля моря • Аркадія,"2-кімнатна квартира, 99 м², від будівельників. Район Аркадія, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-31-1/1200/900"",""https://picsum.photos/seed/od-31-2/1200/900"",""https://picsum.photos/seed/od-31-3/1200/900""]"
OD032,sale,apartment,4958000,UAH,67002,UA,Одеса,Приморський,Центр,"вул. Люстдорфська дорога, 64",2013,8,хрущовка,панель,true,лоджія,після ремонту,"[""поруч парк"",""дитячий майданчик"",""підземний паркінг"",""гостьовий паркінг""]",2,3,74,8,true,false,false,Квартира біля моря • Центр,"2-кімнатна квартира, 74 м², після ремонту. Район Центр, Приморський район. Є ліфт, матеріал стін: панель, балкон: лоджія.","[""https://picsum.photos/seed/od-32-1/1200/900"",""https://picsum.photos/seed/od-32-2/1200/900"",""https://picsum.photos/seed/od-32-3/1200/900""]"
OD033,sale,apartment,2393000,UAH,42740,UA,Одеса,Суворовський,Лузанівка,"вул. Люстдорфська дорога, 92",2025,26,чешка,цегла,true,французький,житловий стан,"[""поруч парк"",""гостьовий паркінг""]",1,3,56,4,true,false,true,Квартира біля моря • Лузанівка,"1-кімнатна квартира, 56 м², житловий стан. Район Лузанівка, Суворовський район. Є ліфт, матеріал стін: цегла, балкон: французький.","[""https://picsum.photos/seed/od-33-1/1200/900"",""https://picsum.photos/seed/od-33-2/1200/900"",""https://picsum.photos/seed/od-33-3/1200/900""]"
OD034,sale,apartment,3002000,UAH,50029,UA,Одеса,Приморський,Центр,"вул. Канатна, 46",2025,24,спецпроект,моноліт,true,відкритий,від будівельників,"[""охорона"",""поруч парк""]",3,1,60,24,true,true,true,Квартира під інвестицію • Центр,"3-кімнатна квартира, 60 м², від будівельників. Район Центр, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: відкритий.","[""https://picsum.photos/seed/od-34-1/1200/900"",""https://picsum.photos/seed/od-34-2/1200/900"",""https://picsum.photos/seed/od-34-3/1200/900""]"
OD035,sale,apartment,2620000,UAH,38524,UA,Одеса,Київський,Чорноморка,"вул. Люстдорфська дорога, 40",2018,22,хрущовка,панель,true,засклений,після ремонту,"[""підземний паркінг"",""гостьовий паркінг""]",2,1,68,14,true,false,false,Квартира біля моря • Чорноморка,"2-кімнатна квартира, 68 м², після ремонту. Район Чорноморка, Київський район. Є ліфт, матеріал стін: панель, балкон: засклений.","[""https://picsum.photos/seed/od-35-1/1200/900"",""https://picsum.photos/seed/od-35-2/1200/900"",""https://picsum.photos/seed/od-35-3/1200/900""]"
OD036,sale,apartment,5421000,UAH,57066,UA,Одеса,Приморський,Центр,"вул. Філатова, 34",2004,20,новобудова,газоблок,true,без балкона,після ремонту,"[""гостьовий паркінг"",""поруч парк""]",2,3,95,11,false,true,false,Світла квартира • Центр,"2-кімнатна квартира, 95 м², після ремонту. Район Центр, Приморський район. Є ліфт, матеріал стін: газоблок, балкон: без балкона.","[""https://picsum.photos/seed/od-36-1/1200/900"",""https://picsum.photos/seed/od-36-2/1200/900"",""https://picsum.photos/seed/od-36-3/1200/900""]"
OD037,sale,apartment,1690000,UAH,30171,UA,Одеса,Суворовський,Лузанівка,"вул. Генуезька, 47",2002,7,спецпроект,цегла,true,засклений,житловий стан,"[""дитячий майданчик"",""охорона""]",1,2,56,5,true,false,true,Квартира біля моря • Лузанівка,"1-кімнатна квартира, 56 м², житловий стан. Район Лузанівка, Суворовський район. Є ліфт, матеріал стін: цегла, балкон: засклений.","[""https://picsum.photos/seed/od-37-1/1200/900"",""https://picsum.photos/seed/od-37-2/1200/900"",""https://picsum.photos/seed/od-37-3/1200/900""]"
OD038,sale,apartment,2843000,UAH,71066,UA,Одеса,Приморський,Французький бульвар,"вул. Люстдорфська дорога, 106",2019,21,хрущовка,газоблок,true,французький,від будівельників,"[""дитячий майданчик"",""консьєрж"",""охорона""]",1,2,40,21,true,false,false,Світла квартира • Французький бульвар,"1-кімнатна квартира, 40 м², від будівельників. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: газоблок, балкон: французький.","[""https://picsum.photos/seed/od-38-1/1200/900"",""https://picsum.photos/seed/od-38-2/1200/900"",""https://picsum.photos/seed/od-38-3/1200/900""]"
OD039,sale,apartment,5391000,UAH,44551,UA,Одеса,Приморський,Центр,"вул. Канатна, 1",2021,24,новобудова,моноліт,true,без балкона,євроремонт,"[""дитячий майданчик"",""підземний паркінг""]",3,2,121,24,false,false,true,Квартира під інвестицію • Центр,"3-кімнатна квартира, 121 м², євроремонт. Район Центр, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-39-1/1200/900"",""https://picsum.photos/seed/od-39-2/1200/900"",""https://picsum.photos/seed/od-39-3/1200/900""]"
OD040,sale,apartment,2264000,UAH,43535,UA,Одеса,Київський,Фонтан,"вул. Генуезька, 109",2005,26,спецпроект,газоблок,true,без балкона,житловий стан,"[""підземний паркінг"",""дитячий майданчик""]",2,1,52,18,false,true,false,Світла квартира • Фонтан,"2-кімнатна квартира, 52 м², житловий стан. Район Фонтан, Київський район. Є ліфт, матеріал стін: газоблок, балкон: без балкона.","[""https://picsum.photos/seed/od-40-1/1200/900"",""https://picsum.photos/seed/od-40-2/1200/900"",""https://picsum.photos/seed/od-40-3/1200/900""]"
OD041,sale,apartment,1270000,UAH,31752,UA,Одеса,Суворовський,Котовського,"вул. Філатова, 59",2014,26,сталінка,моноліт,true,засклений,житловий стан,"[""поруч парк"",""підземний паркінг"",""гостьовий паркінг""]",1,2,40,7,true,false,false,Світла квартира • Котовського,"1-кімнатна квартира, 40 м², житловий стан. Район Котовського, Суворовський район. Є ліфт, матеріал стін: моноліт, балкон: засклений.","[""https://picsum.photos/seed/od-41-1/1200/900"",""https://picsum.photos/seed/od-41-2/1200/900"",""https://picsum.photos/seed/od-41-3/1200/900""]"
OD042,sale,apartment,2404000,UAH,63271,UA,Одеса,Приморський,Центр,"вул. Пушкінська, 100",2009,20,чешка,цегла,true,лоджія,євроремонт,"[""дитячий майданчик"",""гостьовий паркінг"",""підземний паркінг"",""охорона""]",1,2,38,20,true,false,false,Світла квартира • Центр,"1-кімнатна квартира, 38 м², євроремонт. Район Центр, Приморський район. Є ліфт, матеріал стін: цегла, балкон: лоджія.","[""https://picsum.photos/seed/od-42-1/1200/900"",""https://picsum.photos/seed/od-42-2/1200/900"",""https://picsum.photos/seed/od-42-3/1200/900""]"
OD043,sale,apartment,2841000,UAH,46568,UA,Одеса,Київський,Фонтан,"вул. Пушкінська, 12",2007,26,хрущовка,газоблок,true,засклений,євроремонт,"[""дитячий майданчик"",""охорона""]",3,3,61,3,true,false,false,Сімейна квартира • Фонтан,"3-кімнатна квартира, 61 м², євроремонт. Район Фонтан, Київський район. Є ліфт, матеріал стін: газоблок, балкон: засклений.","[""https://picsum.photos/seed/od-43-1/1200/900"",""https://picsum.photos/seed/od-43-2/1200/900"",""https://picsum.photos/seed/od-43-3/1200/900""]"
OD044,sale,apartment,2500000,UAH,42371,UA,Одеса,Київський,Фонтан,"вул. Генуезька, 38",2002,21,чешка,моноліт,true,лоджія,євроремонт,"[""підземний паркінг"",""консьєрж"",""гостьовий паркінг"",""охорона""]",1,1,59,8,true,false,true,Квартира під інвестицію • Фонтан,"1-кімнатна квартира, 59 м², євроремонт. Район Фонтан, Київський район. Є ліфт, матеріал стін: моноліт, балкон: лоджія.","[""https://picsum.photos/seed/od-44-1/1200/900"",""https://picsum.photos/seed/od-44-2/1200/900"",""https://picsum.photos/seed/od-44-3/1200/900""]"
OD045,sale,apartment,3250000,UAH,34944,UA,Одеса,Суворовський,Лузанівка,"вул. Філатова, 81",1999,23,чешка,цегла,true,лоджія,житловий стан,"[""поруч парк"",""підземний паркінг""]",2,1,93,23,true,false,true,Світла квартира • Лузанівка,"2-кімнатна квартира, 93 м², житловий стан. Район Лузанівка, Суворовський район. Є ліфт, матеріал стін: цегла, балкон: лоджія.","[""https://picsum.photos/seed/od-45-1/1200/900"",""https://picsum.photos/seed/od-45-2/1200/900"",""https://picsum.photos/seed/od-45-3/1200/900""]"
OD046,sale,apartment,5441000,UAH,46112,UA,Одеса,Приморський,Центр,"вул. Генуезька, 22",2009,25,новобудова,цегла,true,засклений,євроремонт,"[""консьєрж"",""гостьовий паркінг"",""дитячий майданчик"",""підземний паркінг""]",3,1,118,17,true,false,false,Квартира біля моря • Центр,"3-кімнатна квартира, 118 м², євроремонт. Район Центр, Приморський район. Є ліфт, матеріал стін: цегла, балкон: засклений.","[""https://picsum.photos/seed/od-46-1/1200/900"",""https://picsum.photos/seed/od-46-2/1200/900"",""https://picsum.photos/seed/od-46-3/1200/900""]"
OD047,sale,apartment,2298000,UAH,34299,UA,Одеса,Київський,Чорноморка,"вул. Пушкінська, 93",2016,10,сталінка,моноліт,true,без балкона,євроремонт,"[""дитячий майданчик"",""гостьовий паркінг"",""підземний паркінг"",""охорона""]",1,1,67,4,false,false,false,Квартира з терасою • Чорноморка,"1-кімнатна квартира, 67 м², євроремонт. Район Чорноморка, Київський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-47-1/1200/900"",""https://picsum.photos/seed/od-47-2/1200/900"",""https://picsum.photos/seed/od-47-3/1200/900""]"
OD048,sale,apartment,2622000,UAH,29461,UA,Одеса,Київський,Чорноморка,"вул. Генуезька, 14",2001,19,чешка,цегла,true,французький,євроремонт,"[""консьєрж"",""поруч парк"",""дитячий майданчик""]",3,3,89,16,true,false,false,Квартира під інвестицію • Чорноморка,"3-кімнатна квартира, 89 м², євроремонт. Район Чорноморка, Київський район. Є ліфт, матеріал стін: цегла, балкон: французький.","[""https://picsum.photos/seed/od-48-1/1200/900"",""https://picsum.photos/seed/od-48-2/1200/900"",""https://picsum.photos/seed/od-48-3/1200/900""]"
